"Station.ID","GTFS.Latitude","GTFS.Longitude","Georeference","Complex.ID","Borough"
378,40.886037,-73.878751,"POINT (-73.878751 40.886037)",378,"Bx"
227,40.749719,-73.987823,"POINT (-73.987823 40.749719)",607,"M"
446,40.854364,-73.860495,"POINT (-73.860495 40.854364)",446,"Bx"
115,40.739777,-74.002578,"POINT (-74.002578 40.739777)",618,"M"
461,40.750582,-73.940202,"POINT (-73.940202 40.750582)",461,"Q"
370,40.826525,-73.886283,"POINT (-73.886283 40.826525)",370,"Bx"
98,40.70026,-73.941126,"POINT (-73.941126 40.70026)",98,"Bk"
504,40.621319,-74.071402,"POINT (-74.071402 40.621319)",504,"SI"
331,40.713051,-74.008811,"POINT (-74.008811 40.713051)",624,"M"
433,40.81649,-73.907807,"POINT (-73.907807 40.81649)",433,"Bx"
215,40.85041,-73.905227,"POINT (-73.905227 40.85041)",215,"Bx"
120,40.717304,-73.956872,"POINT (-73.956872 40.717304)",120,"Bk"
222,40.759145,-73.95326,"POINT (-73.95326 40.759145)",222,"M"
83,40.693879,-73.851576,"POINT (-73.851576 40.693879)",83,"Q"
514,40.544601,-74.16457,"POINT (-74.16457 40.544601)",514,"SI"
